classid,TH_name,EN_name,Semester,Year
143750,"วข.100
วิทยาศาสตร์ข้อมูลสำหรับชีวิตประจำวัน","DSI100
DATA SCIENCE FOR EVERYDAY LIFE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,2562
143951,"วข.201
การจัดการฐานข้อมูล","DSI201
DATABASE MANAGEMENT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2562,2562
143952,"วข.100
วิทยาศาสตร์ข้อมูลสำหรับชีวิตประจำวัน","DSI100
DATA SCIENCE FOR EVERYDAY LIFE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,2562
143953,"วข.201
การจัดการฐานข้อมูล","DSI201
DATABASE MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,2562
145305,"วข.214
โครงการด้านการวิเคราะห์ข้อมูลสำหรับธุรกิจ","DSI314
BUSINESS ANALYTICS CAPSTONE PROJECT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148120,"วข.204
การคิดเชิงความน่าจะเป็น","DSI204
PROBABILITY THINKING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148314,"วข.313
การวิเคราะห์การตลาด","DSI313
MARKETING ANALYTICS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148357,"วข.311
อัลกอริทึมของวิทยาศาสตร์ข้อมูล","DSI311
DATA SCIENCE ALGORITHMS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148366,"วข.206
การจัดการข้อมูลสื่อประสม","DSI206
MULTIMEDIA REPRESENTATION MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148367,"วข.206
การจัดการข้อมูลสื่อประสม","DSI206
MULTIMEDIA REPRESENTATION MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148533,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148534,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148535,"วข.310
การสำรวจและการเตรียมข้อมูล","DSI310
DATA EXPLORATION AND PREPROCESSING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148594,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
150985,"วข.204
การคิดเชิงความน่าจะเป็น","DSI204
PROBABILITY THINKING",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
150986,"วข.204
การคิดเชิงความน่าจะเป็น","DSI204
PROBABILITY THINKING",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
151752,"วข.207
การหาค่าเหมาะที่สุดเบื้องต้น","DSI207
INTRODUCTION TO OPTIMIZATION",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152058,"วข.205
พีชคณิตเชิงเส้นพื้นฐานสำหรับการวิเคราะห์ข้อมูล","DSI205
BASICS OF LINEAR ALGEBRA FOR DATA ANALYTICS",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152059,"วข.323
แพลตฟอร์มของธรรมาภิบาลข้อมูล","DSI323
DATA GOVERNANCE PLATFORM",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
